iter	Passed	Remaining
570	18608	110903
571	18636	110839
572	18664	110779
573	18775	111214
574	18828	111301
575	18856	111240
576	18886	111190
577	18918	111152
578	18949	111109
579	18976	111047
580	19004	110982
581	19034	110937
582	19062	110875
583	19095	110848
584	19132	110836
585	19161	110781
586	19189	110722
587	19222	110692
588	19255	110660
589	19284	110609
590	19316	110569
591	19351	110551
592	19378	110488
593	19404	110418
594	19432	110357
595	19457	110279
596	19485	110220
597	19511	110152
598	19540	110100
599	19573	110069
600	19601	110008
601	19629	109949
602	19655	109880
603	19682	109818
604	19707	109745
605	19733	109673
606	19764	109631
607	19796	109598
608	19825	109547
609	19850	109473
610	19876	109400
611	19901	109326
612	19926	109255
613	19952	109183
614	19978	109119
615	20011	109090
616	20050	109089
617	20077	109027
618	20103	108960
619	20128	108889
620	20155	108829
621	20182	108767
622	20217	108748
623	20261	108773
624	20291	108731
625	20320	108678
626	20349	108628
627	20375	108562
628	20403	108507
629	20436	108476
630	20470	108453
631	20497	108391
632	20524	108330
633	20549	108259
634	20575	108189
635	20600	108119
636	20632	108084
637	20739	108445
638	20784	108473
639	20811	108416
640	20841	108368
641	20872	108330
642	20903	108287
643	20931	108231
644	20959	108176
645	20987	108120
646	21018	108081
647	21055	108072
648	21089	108049
649	21119	108004
650	21148	107953
651	21174	107886
652	21202	107832
653	21231	107782
654	21259	107723
655	21294	107705
656	21327	107676
657	21356	107625
658	21382	107562
659	21410	107506
660	21435	107435
661	21461	107373
662	21487	107306
663	21517	107263
664	21551	107237
665	21581	107193
666	21614	107163
667	21639	107097
668	21666	107037
669	21715	107087
670	21746	107047
671	21780	107022
672	21810	106977
673	21835	106909
674	21860	106842
675	21886	106775
676	21910	106704
677	21951	106714
678	21981	106671
679	22014	106640
680	22045	106604
681	22074	106553
682	22100	106487
683	22124	106418
684	22149	106350
685	22179	106306
686	22213	106282
687	22241	106227
688	22266	106159
689	22291	106094
690	22316	106026
691	22341	105958
692	22365	105887
693	22392	105832
694	22424	105796
695	22456	105764
696	22497	105775
697	22523	105711
698	22552	105665
699	22582	105622
700	22617	105600
701	22654	105593
702	22682	105537
703	22709	105481
704	22737	105429
705	22766	105381
706	22792	105322
707	22821	105274
708	22854	105246
709	22890	105230
710	22918	105182
711	22946	105126
712	22971	105062
713	22997	105004
714	23024	104946
715	23059	104925
716	23093	104905
717	23123	104859
718	23148	104797
719	23187	104796
720	23214	104739
721	23243	104690
722	23274	104653
723	23305	104615
724	23331	104555
725	23357	104498
726	23384	104440
727	23423	104439
728	23453	104400
729	23483	104354
730	23517	104332
731	23546	104285
732	23573	104233
733	23600	104174
734	23630	104134
735	23656	104076
736	23689	104049
737	23723	104024
738	23754	103984
739	23781	103929
740	23808	103878
741	23837	103829
742	23864	103775
743	23891	103722
744	23925	103696
745	23961	103684
746	23987	103622
747	24016	103577
748	24045	103533
749	24072	103477
750	24096	103413
751	24130	103387
752	24165	103370
753	24196	103330
754	24225	103288
755	24250	103224
756	24276	103166
757	24300	103100
758	24326	103043
759	24356	103003
760	24391	102981
761	24417	102923
762	24443	102866
763	24468	102804
764	24493	102745
765	24518	102684
766	24548	102643
767	24579	102608
768	24610	102572
769	24637	102515
770	24663	102459
771	24688	102399
772	24713	102339
773	24738	102275
774	24768	102237
775	24808	102241
776	24838	102198
777	24874	102181
778	24902	102136
779	24942	102137
780	24979	102125
781	25031	102173
782	25079	102207
783	25108	102163
784	25136	102113
785	25167	102079
786	25204	102066
787	25240	102052
788	25274	102027
789	25302	101977
790	25330	101930
791	25362	101900
792	25402	101896
793	25441	101896
794	25477	101877
795	25503	101822
796	25528	101760
797	25554	101706
798	25580	101648
799	25606	101594
800	25636	101552
801	25668	101520
802	25704	101504
803	25737	101475
804	25767	101439
805	25796	101393
806	25824	101346
807	25853	101301
808	25879	101246
809	25910	101211
810	25941	101176
811	25970	101131
812	25999	101088
813	26033	101063
814	26061	101018
815	26089	100969
816	26125	100952
817	26162	100939
818	26190	100891
819	26219	100848
820	26248	100806
821	26282	100783
822	26309	100731
823	26336	100681
824	26369	100651
825	26406	100637
826	26434	100593
827	26462	100544
828	26486	100483
829	26514	100436
830	26541	100385
831	26574	100358
832	26611	100342
