iter	RMSE
606	0.3642127774
607	0.3641360423
608	0.3640860185
609	0.3640360854
610	0.3639305684
611	0.3638615807
612	0.3638063321
613	0.3637127779
614	0.3635873835
615	0.3635215577
616	0.3634490418
617	0.3633407358
618	0.3632432684
619	0.3631599869
620	0.3630712034
621	0.3630121265
622	0.3629530826
623	0.362865736
624	0.3627720795
625	0.3627231517
626	0.3626324859
627	0.362590408
628	0.3625086855
629	0.3624317182
630	0.3623552152
631	0.3622728307
632	0.3622196956
633	0.3621676973
634	0.3620677385
635	0.3620032321
636	0.3619060137
637	0.3618208445
638	0.3617564606
639	0.3616970241
640	0.3615608431
641	0.3615163249
642	0.361403292
643	0.3613204962
644	0.3612517739
645	0.3611964964
646	0.3611062174
647	0.3610643242
648	0.3609286784
649	0.3608374582
650	0.3607310507
651	0.3606718865
652	0.3605546087
653	0.3604539717
654	0.360405286
655	0.3602638089
656	0.3602171616
657	0.3601192741
658	0.3600423128
659	0.3599576171
660	0.3599155806
661	0.3597934784
662	0.3597267384
663	0.3596252468
664	0.3595506428
665	0.3595118126
666	0.3593532023
667	0.3592895283
668	0.3592290383
669	0.359157363
670	0.3590857427
671	0.3589905405
672	0.3588999376
673	0.3588090167
674	0.3587007513
675	0.3586241194
676	0.3585673324
677	0.3585007475
678	0.3584292064
679	0.3583731972
680	0.3583003257
681	0.3581965694
682	0.358155202
683	0.3581052281
684	0.3580000655
685	0.357947486
686	0.3579051845
687	0.3578048141
688	0.3577585385
689	0.3577122799
690	0.357610759
691	0.3575329053
692	0.3574821057
693	0.3573968209
694	0.3573241076
695	0.3572325828
696	0.3571571877
697	0.3570445593
698	0.3569783732
699	0.3568954389
700	0.3568126111
701	0.3567285278
702	0.3566343459
703	0.3565306729
704	0.356416084
705	0.3562943028
706	0.3562235957
707	0.3561263612
708	0.3560168065
709	0.3559393987
710	0.3558860814
711	0.3557895408
712	0.355749967
713	0.3556803892
714	0.3555919554
715	0.3554394912
716	0.3553700853
717	0.3552895154
718	0.3552074772
719	0.3551416977
720	0.3549844964
721	0.3548889739
722	0.3548369591
723	0.3547855121
724	0.354706099
725	0.3545825157
726	0.3544860808
727	0.3543715416
728	0.3543029784
729	0.3542576167
730	0.3541655523
731	0.3540376674
732	0.3539707454
733	0.3538825836
734	0.3537953838
735	0.3537274585
736	0.3536668218
737	0.3536333754
738	0.3535519219
739	0.3534819274
740	0.3534023386
741	0.3533348608
742	0.353236868
743	0.3531204307
744	0.3530150141
745	0.3528194344
746	0.3527752573
747	0.3526656822
748	0.3526151067
749	0.3525211534
750	0.3524736076
751	0.352364724
752	0.3523468546
753	0.3522648642
754	0.3521606828
755	0.3520709952
756	0.3520345088
757	0.3519728391
758	0.3518860534
759	0.351852128
760	0.351774175
761	0.3516601717
762	0.3515990048
763	0.3515434496
764	0.3514659863
765	0.3513762483
766	0.3512858489
767	0.351212664
768	0.3511365383
769	0.350857094
770	0.350799296
771	0.3507556391
772	0.3506255988
773	0.3505402709
774	0.3504897714
775	0.3504159195
776	0.3503841608
777	0.3502679765
778	0.350229075
779	0.3501269726
780	0.3500556938
781	0.3500076545
782	0.349974537
783	0.3499073336
784	0.3498425533
785	0.3497286614
786	0.3496551735
787	0.3495609642
788	0.3495099836
789	0.3494346495
790	0.3493909852
791	0.3492823819
792	0.3492117632
793	0.3490814043
794	0.3490226635
795	0.3489482973
796	0.348868171
797	0.3488259474
798	0.3487778596
799	0.3487319349
800	0.3486816586
801	0.3486339791
802	0.3485237473
803	0.3484684601
804	0.3483990526
805	0.34836082
806	0.3482980874
807	0.3482406003
808	0.3481764435
809	0.348122787
810	0.3480616053
811	0.3479898585
812	0.3479261384
813	0.3478162265
814	0.3477621151
815	0.3477100938
816	0.3476206496
817	0.3475652975
818	0.3475124937
819	0.3474321976
820	0.3473903857
821	0.3473673642
822	0.3473091645
823	0.3472330534
824	0.3471554893
825	0.3470908466
826	0.3470255407
827	0.346963761
828	0.346928487
829	0.3468295138
830	0.3467758977
831	0.3467034827
832	0.3466143304
833	0.3465247318
834	0.3464657881
835	0.3464103588
836	0.3463674769
837	0.3462757493
838	0.3461880379
839	0.3460924182
840	0.3460537994
841	0.3460008219
842	0.3459439255
843	0.3459012256
844	0.3458196941
845	0.3457662345
846	0.3457204712
847	0.3456494274
848	0.3456011477
849	0.3455705944
850	0.3454987464
851	0.3454507261
852	0.3453998562
853	0.3452737709
854	0.3452223319
855	0.3451970307
856	0.3451228759
857	0.3450489906
858	0.3449490607
859	0.3449122118
860	0.3448809062
861	0.3448026217
862	0.3447634517
